Date => 'date',Open => 'open',High => 'high', Low => 'low', Close => 'close', Adj Close => 'adj_close', Volume => 'vol'
2014-09-17,465.864014,468.174011,452.421997,457.334015,457.334015,21056800
2014-09-18,456.859985,456.859985,413.104004,424.440002,424.440002,34483200
